Filename,Relative Frequency of NOUN,Relative Freqency of VERB,Relative Freqency ADJ,Relative Freqency ADV,Unique PER,Unique LOC,Unique ORG
0102.a4.txt,0.4358288770053476,0.31016042780748665,0.15775401069518716,0.0962566844919786,0,0,16
0103.a4.txt,0.3440643863179074,0.4104627766599598,0.14285714285714285,0.10261569416498995,0,0,4
0104.a4.txt,0.4082687338501292,0.30749354005167956,0.17829457364341086,0.10594315245478036,0,0,13
0105.a4.txt,0.36795252225519287,0.2997032640949555,0.142433234421365,0.18991097922848665,0,0,3
0106.a4.txt,0.3863013698630137,0.29863013698630136,0.2,0.11506849315068493,0,0,17
0107.a4.txt,0.38817480719794345,0.3341902313624679,0.16709511568123395,0.11053984575835475,0,0,8
0108.a4.txt,0.38349514563106796,0.3470873786407767,0.1650485436893204,0.10436893203883495,0,0,3
0109.a4.txt,0.4326923076923077,0.2956730769230769,0.17067307692307693,0.10096153846153846,0,0,7
0110.a4.txt,0.4599406528189911,0.29673590504451036,0.1572700296735905,0.08605341246290801,0,0,5
0111.a4.txt,0.3835227272727273,0.32954545454545453,0.18181818181818182,0.10511363636363637,0,0,10
0112.a4.txt,0.4028985507246377,0.3333333333333333,0.1536231884057971,0.11014492753623188,0,0,20
0115.a4.txt,0.4735376044568245,0.21448467966573817,0.181058495821727,0.1309192200557103,0,0,24
0119.a4.txt,0.4142857142857143,0.3628571428571429,0.12571428571428572,0.09714285714285714,0,0,9
0120.a4.txt,0.35919540229885055,0.39080459770114945,0.15517241379310345,0.09482758620689655,0,0,10
0121.a4.txt,0.3932853717026379,0.3069544364508393,0.17026378896882494,0.12949640287769784,0,0,6
0122.a4.txt,0.44550669216061184,0.28107074569789675,0.16443594646271512,0.1089866156787763,0,0,6
0127.a4.txt,0.34551495016611294,0.3222591362126246,0.14950166112956811,0.18272425249169436,0,0,17
0128.a4.txt,0.47606382978723405,0.2872340425531915,0.1356382978723404,0.10106382978723404,0,0,7
0130.a4.txt,0.45268542199488493,0.27621483375959077,0.1329923273657289,0.13810741687979539,0,0,11
0134.a4.txt,0.38186813186813184,0.29120879120879123,0.22527472527472528,0.10164835164835165,0,0,0
0135.a4.txt,0.4207650273224044,0.2540983606557377,0.18032786885245902,0.1448087431693989,0,0,4
0136.a4.txt,0.3938053097345133,0.32964601769911506,0.1836283185840708,0.09292035398230089,0,1,4
0137.a4.txt,0.4791666666666667,0.26785714285714285,0.14583333333333334,0.10714285714285714,0,0,8
0139.a4.txt,0.4232081911262799,0.2525597269624573,0.23208191126279865,0.09215017064846416,0,0,2
0140.a4.txt,0.409375,0.303125,0.159375,0.128125,0,0,15
0149.a4.txt,0.3869346733668342,0.32830820770519265,0.19262981574539365,0.09212730318257957,0,0,10
0156.a4.txt,0.3583617747440273,0.3651877133105802,0.14675767918088736,0.1296928327645051,0,0,12
0157.a4.txt,0.3707865168539326,0.28651685393258425,0.19101123595505617,0.15168539325842698,0,0,2
0158.a4.txt,0.373134328358209,0.2935323383084577,0.18159203980099503,0.1517412935323383,0,0,1
0159.a4.txt,0.41909814323607425,0.2864721485411141,0.16976127320954906,0.1246684350132626,0,0,8
0161.a4.txt,0.43717277486910994,0.2905759162303665,0.19633507853403143,0.07591623036649214,0,0,20
0165.a4.txt,0.5061425061425061,0.2751842751842752,0.11056511056511056,0.10810810810810811,0,0,17
0168.a4.txt,0.41289198606271776,0.28222996515679444,0.17421602787456447,0.13066202090592335,0,0,21
0169.a4.txt,0.38571428571428573,0.3342857142857143,0.18857142857142858,0.09142857142857143,0,0,1
0171.a4.txt,0.4186046511627907,0.29941860465116277,0.18023255813953487,0.10174418604651163,0,0,4
0175.a4.txt,0.415041782729805,0.28690807799442897,0.1894150417827298,0.10863509749303621,0,0,4
0176.a4.txt,0.4296875,0.2682291666666667,0.15885416666666666,0.14322916666666666,0,0,3
0177.a4.txt,0.2906178489702517,0.37528604118993136,0.19679633867276888,0.13729977116704806,0,0,10
0178.a4.txt,0.4378947368421053,0.2694736842105263,0.17894736842105263,0.11368421052631579,0,0,9
0179.a4.txt,0.44584382871536526,0.26700251889168763,0.23173803526448364,0.055415617128463476,0,0,2
0185.a4.txt,0.4254742547425474,0.3008130081300813,0.1842818428184282,0.08943089430894309,0,0,2
0186.a4.txt,0.4171597633136095,0.34023668639053256,0.14792899408284024,0.09467455621301775,0,0,11
0187.a4.txt,0.38580246913580246,0.3734567901234568,0.14814814814814814,0.09259259259259259,0,0,18
0188.a4.txt,0.44471744471744473,0.2702702702702703,0.16216216216216217,0.12285012285012285,0,0,2
0190.a4.txt,0.4155844155844156,0.32792207792207795,0.14935064935064934,0.10714285714285714,0,1,21
0192.a4.txt,0.47058823529411764,0.3165266106442577,0.11764705882352941,0.09523809523809523,0,0,10
0193.a4.txt,0.45493562231759654,0.3240343347639485,0.14163090128755365,0.07939914163090128,0,0,20
0194.a4.txt,0.43799472295514513,0.3087071240105541,0.1503957783641161,0.10290237467018469,0,0,11
0195.a4.txt,0.4659090909090909,0.32954545454545453,0.11079545454545454,0.09375,0,0,22
0196.a4.txt,0.36036036036036034,0.3490990990990991,0.16891891891891891,0.12162162162162163,0,0,15
0197.a4.txt,0.39880952380952384,0.3482142857142857,0.13690476190476192,0.11607142857142858,0,0,5
0198.a4.txt,0.3682539682539683,0.3746031746031746,0.13968253968253969,0.11746031746031746,0,0,23
0199.a4.txt,0.4391691394658754,0.2551928783382789,0.19584569732937684,0.10979228486646884,0,0,7
0200.a4.txt,0.3700787401574803,0.32808398950131235,0.13910761154855644,0.16272965879265092,0,0,6
