Filename,Relative Frequency of NOUN,Relative Freqency of VERB,Relative Freqency ADJ,Relative Freqency ADV,Unique PER,Unique LOC,Unique ORG
0103.b5.txt,0.43333333333333335,0.26666666666666666,0.20897435897435898,0.09102564102564102,0,0,1
0140.b5.txt,0.4022140221402214,0.2933579335793358,0.16236162361623616,0.14206642066420663,0,0,2
0165.b5.txt,0.4573055028462998,0.25806451612903225,0.17836812144212524,0.1062618595825427,0,0,0
0200.b5.txt,0.432,0.256,0.1776,0.1344,0,0,2
0300.b5.txt,0.4721189591078067,0.2174721189591078,0.20074349442379183,0.10966542750929369,0,1,11
0310.b5.txt,0.39869281045751637,0.2647058823529412,0.2042483660130719,0.1323529411764706,0,0,2
1003.b5.txt,0.42217898832684825,0.3132295719844358,0.14785992217898833,0.11673151750972763,0,0,3
1021.b5.txt,0.4809027777777778,0.2795138888888889,0.1597222222222222,0.0798611111111111,0,1,4
1023.b5.txt,0.3549382716049383,0.3194444444444444,0.1728395061728395,0.1527777777777778,0,2,2
1057.b5.txt,0.4132730015082956,0.2579185520361991,0.2096530920060332,0.1191553544494721,0,0,1
1100.b5.txt,0.45119705340699817,0.27992633517495397,0.18232044198895028,0.0865561694290976,0,0,4
1508.b5.txt,0.3787575150300601,0.36072144288577157,0.12625250501002003,0.1342685370741483,0,0,5
1532.b5.txt,0.4326710816777042,0.3576158940397351,0.11479028697571744,0.09492273730684327,0,0,1
1533.b5.txt,0.4150513112884835,0.33409350057012543,0.13340935005701254,0.11744583808437856,0,0,5
2019.b5.txt,0.4117647058823529,0.3411764705882353,0.14823529411764705,0.0988235294117647,0,0,3
2028.b5.txt,0.37479541734860883,0.3829787234042553,0.132569558101473,0.10965630114566285,0,0,30
2032.b5.txt,0.3004694835680751,0.38028169014084506,0.162754303599374,0.1564945226917058,0,1,17
2034.b5.txt,0.4144329896907217,0.2618556701030928,0.20412371134020618,0.11958762886597939,0,0,3
2066.b5.txt,0.36054421768707484,0.3900226757369615,0.1473922902494331,0.10204081632653061,0,0,3
3018.b5.txt,0.39436619718309857,0.272887323943662,0.19014084507042253,0.1426056338028169,0,0,27
3020.b5.txt,0.4722222222222222,0.22916666666666666,0.2199074074074074,0.0787037037037037,0,0,2
