task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-05T01:41:21,Emotion Analysis,0c572764-6139-4ee8-9c00-fd0ba6374bc8,0.05978512763977051,5.567986434059568e-07,9.032685525442774e-06,42.5,0.0,141.20075225830078,7.256709867053562e-07,0,2.3604880628681713e-06,3.0861590495735275e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
predict_emotions,2024-05-05T02:15:56,Emotion Analysis,0c572764-6139-4ee8-9c00-fd0ba6374bc8,2074.7023746967316,0.01910044032170974,9.20636487976592e-06,42.5,0.0,141.20075225830078,0.024492978253132767,0,0.08137473074325194,0.1058677089963847,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_file_csv,2024-05-05T02:15:56,Emotion Analysis,0c572764-6139-4ee8-9c00-fd0ba6374bc8,0.09384512901306152,8.597696626935769e-07,9.166820039437506e-06,42.5,0.0,141.20075225830078,1.1058532529417686e-06,0,3.659578481668424e-06,4.765431734610193e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
plot_emotions_distribution,2024-05-05T02:15:57,Emotion Analysis,0c572764-6139-4ee8-9c00-fd0ba6374bc8,1.1898481845855713,1.093078158308225e-05,9.202930459072042e-06,42.5,0.0,141.20075225830078,1.4020819796456419e-05,0,4.656505069917938e-05,6.0585870495635796e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
plot_relative_frequency,2024-05-05T02:15:58,Emotion Analysis,0c572764-6139-4ee8-9c00-fd0ba6374bc8,1.4995265007019043,1.3791841345218298e-05,9.203761064998669e-06,42.5,0.0,141.20075225830078,1.7689427236716043e-05,0,5.875439402955318e-05,7.64438212662727e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
