Filename,Relative Frequency of NOUN,Relative Freqency of VERB,Relative Freqency of ADJ,Relative Freqency of ADV,Unique PER,Unique LOC,Unique ORG
0103.b2.txt,0.5043668122270742,0.2663755458515284,0.13755458515283842,0.09170305676855896,0,0,3
0134.b2.txt,0.38476190476190475,0.20761904761904762,0.26666666666666666,0.14095238095238094,0,0,2
0139.b2.txt,0.37037037037037035,0.29894179894179895,0.21693121693121692,0.11375661375661375,0,0,11
0140.b2.txt,0.48267326732673266,0.24504950495049505,0.14603960396039603,0.12623762376237624,0,0,2
0165.b2.txt,0.47874720357941836,0.2550335570469799,0.19015659955257272,0.07606263982102908,0,0,0
0200.b2.txt,0.38865546218487396,0.25210084033613445,0.226890756302521,0.1323529411764706,0,0,18
0300.b2.txt,0.4085106382978723,0.31063829787234043,0.19361702127659575,0.08723404255319149,0,0,5
0308.b2.txt,0.3784860557768924,0.2450199203187251,0.22111553784860558,0.1553784860557769,0,0,15
0310.b2.txt,0.5472154963680388,0.22518159806295399,0.12106537530266344,0.10653753026634383,0,0,2
0313.b2.txt,0.3867735470941884,0.2665330661322645,0.22444889779559118,0.12224448897795591,0,2,7
1003.b2.txt,0.42946708463949845,0.2884012539184953,0.19122257053291536,0.09090909090909091,0,0,3
1006.b2.txt,0.46321525885558584,0.25885558583106266,0.16348773841961853,0.11444141689373297,0,0,3
1006.b2i.txt,0.46321525885558584,0.25885558583106266,0.16348773841961853,0.11444141689373297,0,0,3
1021.b2.txt,0.4943820224719101,0.25842696629213485,0.15955056179775282,0.08764044943820225,0,0,3
1023.b2.txt,0.41379310344827586,0.2601880877742947,0.19435736677115986,0.13166144200626959,0,3,15
1057.b2.txt,0.4338235294117647,0.27389705882352944,0.17279411764705882,0.11948529411764706,0,0,3
1097.b2.txt,0.4431818181818182,0.2518939393939394,0.17234848484848486,0.13257575757575757,0,0,5
1100.b2.txt,0.3987730061349693,0.2822085889570552,0.19631901840490798,0.12269938650306748,0,0,4
1104.b2.txt,0.4701492537313433,0.27114427860696516,0.13930348258706468,0.11940298507462686,0,0,1
1104.b2i.txt,0.4701492537313433,0.27114427860696516,0.13930348258706468,0.11940298507462686,0,0,1
1112.b2.txt,0.5010615711252654,0.2484076433121019,0.15711252653927812,0.09341825902335456,0,0,4
1508.b2.txt,0.38917525773195877,0.3634020618556701,0.16237113402061856,0.08505154639175258,0,0,2
1520.b2.txt,0.4372384937238494,0.301255230125523,0.15481171548117154,0.10669456066945607,0,0,3
1528.b2.txt,0.43953488372093025,0.27209302325581397,0.21395348837209302,0.07441860465116279,0,0,0
1532.b2.txt,0.38004750593824227,0.25415676959619954,0.23515439429928742,0.13064133016627077,0,4,18
1533.b2.txt,0.4468864468864469,0.30036630036630035,0.17765567765567766,0.07509157509157509,0,0,5
1541.b2.txt,0.4578313253012048,0.2,0.20481927710843373,0.13734939759036144,0,0,1
2012.b2.txt,0.49411764705882355,0.2411764705882353,0.20588235294117646,0.058823529411764705,0,0,2
2019.b2.txt,0.391812865497076,0.2807017543859649,0.19298245614035087,0.13450292397660818,0,0,1
2028.b2.txt,0.4343163538873995,0.2975871313672922,0.18498659517426275,0.08310991957104558,0,0,0
2028.b2i.txt,0.4343163538873995,0.2975871313672922,0.18498659517426275,0.08310991957104558,0,0,0
2030.b2.txt,0.3819241982507289,0.33527696793002915,0.1457725947521866,0.13702623906705538,0,0,0
2032.b2.txt,0.46785714285714286,0.2571428571428571,0.18571428571428572,0.08928571428571429,0,0,5
2034.b2.txt,0.4566929133858268,0.27165354330708663,0.1377952755905512,0.13385826771653545,0,0,7
2066.b2.txt,0.45081967213114754,0.24863387978142076,0.19398907103825136,0.10655737704918032,0,0,10
2070.b2.txt,0.40487804878048783,0.2926829268292683,0.18048780487804877,0.12195121951219512,0,0,4
2070.b2i.txt,0.40487804878048783,0.2926829268292683,0.18048780487804877,0.12195121951219512,0,0,4
3013.b2.txt,0.4309210526315789,0.2730263157894737,0.1875,0.10855263157894737,0,0,14
3020.b2.txt,0.48533333333333334,0.296,0.14933333333333335,0.06933333333333333,0,0,3
3501.b2.txt,0.4876543209876543,0.25925925925925924,0.17592592592592593,0.07716049382716049,0,0,11
3503.b2.txt,0.505464480874317,0.226775956284153,0.1830601092896175,0.08469945355191257,0,2,10
3504.b2.txt,0.4976851851851852,0.26157407407407407,0.16203703703703703,0.0787037037037037,0,0,3
3505.b2.txt,0.442159383033419,0.2802056555269923,0.17737789203084833,0.10025706940874037,0,0,1
3506.b2.txt,0.46629213483146065,0.2752808988764045,0.15168539325842698,0.10674157303370786,0,0,1
3507.b2.txt,0.42138364779874216,0.24737945492662475,0.2389937106918239,0.09224318658280922,0,0,3
3508.b2.txt,0.4732824427480916,0.25190839694656486,0.1946564885496183,0.08015267175572519,0,0,1
3509.b2.txt,0.45278450363196127,0.2397094430992736,0.1864406779661017,0.12106537530266344,0,0,4
3511.b2.txt,0.47954545454545455,0.2772727272727273,0.1431818181818182,0.1,0,0,23
3518.b2.txt,0.37168141592920356,0.37168141592920356,0.16519174041297935,0.09144542772861357,0,1,21
3519.b2.txt,0.4215456674473068,0.3091334894613583,0.17096018735362997,0.09836065573770492,0,0,0
3520.b2.txt,0.4854368932038835,0.2621359223300971,0.1669902912621359,0.0854368932038835,0,0,4
3522.b2.txt,0.446064139941691,0.24489795918367346,0.1836734693877551,0.12536443148688048,0,0,0
3523.b2.txt,0.5089463220675944,0.2624254473161034,0.1550695825049702,0.073558648111332,0,0,11
