task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load dataset,2024-04-25T10:52:01,sentiment classification,577934bb-9d95-4abf-ad16-4b6201a08d06,11.992015600204468,0.00011038701780209558,9.204160308337202e-06,42.5,0.0,141.20075225830078,0.00014156627323892382,0,0.0004702741074442429,0.0006118403806831667,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
build model,2024-04-25T10:52:10,sentiment classification,577934bb-9d95-4abf-ad16-4b6201a08d06,8.713489770889282,8.018632821625866e-05,9.202743974178e-06,42.5,0.0,141.20075225830078,0.00010284428215689132,0,0.00034160321319423023,0.0004444474953511215,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
run classification,2024-04-25T10:55:54,sentiment classification,577934bb-9d95-4abf-ad16-4b6201a08d06,224.41656637191772,0.00206602359803474,9.206230809226449e-06,42.5,0.0,141.20075225830078,0.002649335032535924,0,0.008801981344071397,0.011451316376607321,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
