task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-21T18:39:35,Text Classification,d02d1087-84d9-453f-a1ac-701e78d67120,0.32459330558776855,3.0084047259080256e-06,9.19091698600034e-06,42.5,0.0,141.20069217681885,3.862171868483226e-06,0,1.281246550643516e-05,1.6674637374918384e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
split_vectorize_fit_text,2024-05-21T18:39:46,Text Classification,d02d1087-84d9-453f-a1ac-701e78d67120,10.701366662979126,9.849912400854975e-05,9.205766382710649e-06,42.5,0.0,141.20069217681885,0.00012631465444962184,0,0.0004196348850007087,0.0005459495394503305,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
train_classifier_logreg,2024-05-21T18:39:46,Text Classification,d02d1087-84d9-453f-a1ac-701e78d67120,0.06094217300415039,5.575055497363256e-07,9.156382307399078e-06,42.5,0.0,141.20069217681885,7.177139321963067e-07,0,2.372363275933366e-06,3.0900772081296187e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
predict,2024-05-21T18:39:46,Text Classification,d02d1087-84d9-453f-a1ac-701e78d67120,0.0016324520111083984,1.226456063995547e-08,7.4834587940657245e-06,42.5,0.0,141.20069217681885,1.8154581387850015e-08,0,4.9824005227507625e-08,6.797858661524922e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
save_models,2024-05-21T18:39:48,Text Classification,d02d1087-84d9-453f-a1ac-701e78d67120,2.6693167686462402,2.4550666636353514e-05,9.204790400647981e-06,42.5,0.0,141.20069217681885,3.1486120985613946e-05,0,0.0001045904713519218,0.00013607659233753574,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
save_report,2024-05-21T18:39:49,Text Classification,d02d1087-84d9-453f-a1ac-701e78d67120,0.03450417518615723,3.181993585440427e-07,9.12320709239049e-06,42.5,0.0,141.20069217681885,4.1065944565666854e-07,0,1.3530191149306115e-06,1.76367856058728e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
