task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-02T11:37:46,Text Classification,4e823cdf-0cb7-4442-a186-ca1f8665ac9d,0.3979003429412842,3.685069103099834e-06,9.196084171695011e-06,42.5,0.0,141.20075225830078,4.729932712184059e-06,0,1.569524162241578e-05,2.0425174334599838e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
split_vectorize_fit_text,2024-05-02T11:37:58,Text Classification,4e823cdf-0cb7-4442-a186-ca1f8665ac9d,12.341074705123901,0.00011358371575951138,9.205966686569867e-06,42.5,0.0,141.20075225830078,0.00014565631465779413,0,0.00048390235332162774,0.000629558667979422,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
train_classifier_logreg,2024-05-02T11:37:58,Text Classification,4e823cdf-0cb7-4442-a186-ca1f8665ac9d,0.06453919410705566,5.879925350277851e-07,9.147087515066424e-06,42.5,0.0,141.20075225830078,7.577187485165073e-07,0,2.5013381916323815e-06,3.259056940148916e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
predict,2024-05-02T11:37:58,Text Classification,4e823cdf-0cb7-4442-a186-ca1f8665ac9d,0.002162456512451172,1.4749573313253307e-08,7.439176809291919e-06,42.5,0.0,141.20075225830078,2.213733063803928e-08,0,5.961489648600386e-08,8.175222712398893e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_models,2024-05-02T11:38:02,Text Classification,4e823cdf-0cb7-4442-a186-ca1f8665ac9d,3.764676094055176,3.463216726538662e-05,9.204503118930791e-06,42.5,0.0,141.20075225830078,4.441715362999175e-05,0,0.00014753801306837885,0.00019195516669837055,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_report,2024-05-02T11:38:02,Text Classification,4e823cdf-0cb7-4442-a186-ca1f8665ac9d,0.03956127166748047,3.584688616539277e-07,9.122626129677365e-06,42.5,0.0,141.20075225830078,4.6285175614885774e-07,0,1.5240279435147245e-06,1.9868796996636365e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
