task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-21T18:40:20,Text Classification,2fd1f548-2434-414d-81d7-9cfed7b51e14,0.318864107131958,2.953921085931059e-06,9.194253705194335e-06,42.5,0.0,141.20069217681885,3.7917912006378176e-06,0,1.2580860563216448e-05,1.6372651763854264e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
split_vectorize_fit_text,2024-05-21T18:40:31,Text Classification,2fd1f548-2434-414d-81d7-9cfed7b51e14,10.347538471221924,9.522959735481483e-05,9.205757037511111e-06,42.5,0.0,141.20069217681885,0.00012212209171719022,0,0.0004057054939716813,0.0005278275856888716,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
train_classifier_mlp,2024-05-21T18:40:41,Text Classification,2fd1f548-2434-414d-81d7-9cfed7b51e14,10.288374185562134,9.469356120743017e-05,9.205675434100554e-06,42.5,0.0,141.20069217681885,0.00012143545448780059,0,0.00040342105211037797,0.0005248565065981785,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
predict,2024-05-21T18:40:41,Text Classification,2fd1f548-2434-414d-81d7-9cfed7b51e14,0.009435176849365234,6.548223822769664e-08,8.127013277922205e-06,42.5,0.0,141.20069217681885,9.207609626984102e-08,0,2.70871271662804e-07,3.6294736793264504e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
save_models,2024-05-21T18:40:44,Text Classification,2fd1f548-2434-414d-81d7-9cfed7b51e14,2.7575576305389404,2.5379331606977055e-05,9.204935991059233e-06,42.5,0.0,141.20069217681885,3.2548639674981415e-05,0,0.00010812098091152905,0.00014066962058651052,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
save_report,2024-05-21T18:40:44,Text Classification,2fd1f548-2434-414d-81d7-9cfed7b51e14,0.029885530471801758,2.7299411347450945e-07,9.121995985776224e-06,42.5,0.0,141.20069217681885,3.523367974493175e-07,0,1.160783365031638e-06,1.5131201624811724e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
